customer_id,location,service_plan,data_usage,call_duration,complaints,churn
286278,Lalitpur,Basic,9.81,331,1,0
391411,Butwal,Basic,2.74,290,0,0
617979,Dharan,Basic,5.49,253,3,0
881914,Biratnagar,Basic,4.57,526,1,1
581671,Bhaktapur,Basic,3.41,168,1,0
749438,Dharan,Basic,0.86,16,5,1
132405,Dharan,Standard,1.94,475,0,1
988815,Biratnagar,Basic,1.65,31,5,0
518764,Pokhara,Basic,1.66,596,3,0
896549,Dharan,Premium,8.09,125,1,0
448939,Biratnagar,Standard,6.78,566,5,0
634349,Pokhara,Standard,6.22,33,0,0
415432,Kathmandu,Basic,9.32,206,2,0
716696,Bhaktapur,Premium,6.58,535,4,1
365746,Dharan,Standard,7.17,60,4,1
136362,Pokhara,Basic,5.04,262,5,0
641510,Dharan,Standard,3.15,380,2,0
345707,Kathmandu,Standard,6.54,235,0,1
314050,Bhaktapur,Standard,4.97,47,5,1
833974,Kathmandu,Standard,0.66,205,0,0
244293,Kathmandu,Standard,0.54,425,0,0
468581,Butwal,Premium,2.66,153,3,0
375446,Butwal,Premium,8.22,202,5,1
235420,Butwal,Basic,9.67,101,1,0
849726,Dharan,Basic,5.41,93,4,1
847711,Dharan,Standard,0.47,249,2,1
994888,Pokhara,Premium,9.78,53,1,1
107276,Pokhara,Standard,7.17,47,3,0
648202,Bhaktapur,Premium,3.99,189,1,0
750950,Butwal,Premium,6.98,337,2,1
566814,Butwal,Premium,1.58,295,0,1
137796,Lalitpur,Standard,8.77,347,0,0
603385,Biratnagar,Premium,9.78,191,0,0
334221,Dharan,Premium,3.34,580,0,1
824864,Lalitpur,Premium,7.13,271,0,0
540862,Dharan,Standard,2.34,275,0,0
237562,Pokhara,Standard,5.57,424,1,0
174945,Pokhara,Premium,1.29,393,0,0
987491,Lalitpur,Basic,1.03,552,2,0
685556,Pokhara,Basic,8.55,34,2,1
469894,Lalitpur,Basic,9.05,480,5,1
902399,Kathmandu,Premium,6.79,321,2,0
442196,Kathmandu,Standard,1.14,218,0,0
234838,Butwal,Premium,8.46,173,0,0
502928,Kathmandu,Standard,1.02,157,2,0
148333,Kathmandu,Standard,3.97,123,0,1
594755,Kathmandu,Premium,0.14,191,4,1
832682,Biratnagar,Premium,1.66,126,5,0
871567,Butwal,Basic,4.25,322,3,0
764357,Pokhara,Basic,8.42,305,5,0
955918,Pokhara,Standard,4.91,399,4,1
820718,Kathmandu,Basic,2.88,28,1,0
343363,Butwal,Standard,4.35,16,5,0
878939,Biratnagar,Basic,3.77,68,2,0
691863,Pokhara,Premium,1.65,557,0,1
279099,Biratnagar,Standard,3.55,563,0,1
702496,Kathmandu,Basic,2.98,517,4,1
531518,Pokhara,Standard,5.73,385,5,0
906511,Kathmandu,Standard,2.06,234,3,1
190358,Biratnagar,Premium,9.29,213,5,1
454624,Butwal,Premium,3.41,208,2,1
231999,Kathmandu,Premium,3.74,210,5,1
530439,Bhaktapur,Standard,3.89,74,1,1
232323,Bhaktapur,Standard,7.57,182,2,1
794950,Dharan,Basic,9.54,232,3,0
337177,Biratnagar,Standard,8.69,581,3,0
529689,Pokhara,Premium,1.15,464,5,1
728771,Pokhara,Basic,4.28,282,1,1
281388,Bhaktapur,Basic,9.63,309,0,1
704757,Biratnagar,Premium,4.04,165,2,1
774713,Kathmandu,Standard,3.25,591,5,1
983268,Lalitpur,Basic,4.49,439,0,0
343012,Kathmandu,Premium,2.81,481,2,1
168728,Butwal,Standard,9.92,89,5,1
978050,Kathmandu,Standard,8.11,461,3,0
233514,Bhaktapur,Standard,4.11,506,4,1
485366,Bhaktapur,Premium,1.22,12,1,0
216683,Pokhara,Basic,8.49,226,2,0
737422,Pokhara,Basic,0.93,585,1,0
657038,Dharan,Standard,6.01,462,1,0
165233,Butwal,Basic,1.27,497,4,0
712433,Lalitpur,Basic,9.35,338,3,0
860457,Butwal,Basic,2.38,275,0,0
956613,Bhaktapur,Premium,4.79,239,0,1
596325,Biratnagar,Basic,2.36,421,3,1
932929,Butwal,Standard,2.25,263,5,0
662444,Lalitpur,Standard,3.13,480,4,0
342384,Lalitpur,Premium,1.03,105,5,0
350003,Butwal,Premium,5.25,293,0,1
159539,Dharan,Standard,4.15,537,3,1
290037,Pokhara,Basic,7.91,239,1,1
701850,Kathmandu,Basic,0.83,219,2,1
278915,Pokhara,Basic,4.11,80,4,1
461273,Butwal,Basic,2.65,428,0,0
753763,Pokhara,Basic,1.36,99,4,0
706686,Butwal,Premium,6.35,422,1,0
268338,Dharan,Standard,6.07,473,2,1
108307,Bhaktapur,Premium,8.09,318,1,1
445577,Bhaktapur,Basic,9.63,38,3,0
215838,Dharan,Standard,8.67,592,1,1
574108,Bhaktapur,Standard,4.01,379,4,1
551583,Biratnagar,Basic,9.8,341,0,1
977173,Lalitpur,Basic,8.3,179,0,0
477050,Kathmandu,Premium,1.67,473,2,0
420865,Butwal,Standard,8.4,177,1,1
423629,Lalitpur,Standard,9.81,429,0,0
782031,Pokhara,Standard,0.43,532,4,1
813494,Pokhara,Premium,7.28,119,3,0
463978,Bhaktapur,Basic,4.77,231,0,1
200181,Kathmandu,Basic,9.4,573,1,1
212642,Butwal,Standard,4.23,42,3,1
190638,Biratnagar,Premium,7.81,81,4,1
728522,Dharan,Basic,6.55,330,0,0
467760,Kathmandu,Standard,5.06,593,5,0
446868,Bhaktapur,Basic,9.84,600,1,0
716002,Lalitpur,Premium,8.75,141,3,1
117720,Dharan,Premium,3.57,343,4,1
952408,Pokhara,Basic,6.26,556,5,0
152324,Biratnagar,Premium,6.25,137,0,1
170702,Dharan,Basic,3.99,254,3,0
797371,Bhaktapur,Premium,9.1,390,3,0
879757,Pokhara,Premium,1.94,559,4,0
863566,Biratnagar,Premium,2.05,416,4,0
889257,Biratnagar,Standard,2.79,39,3,1
214183,Dharan,Premium,9.33,302,5,1
307592,Kathmandu,Standard,3.9,358,2,1
556872,Kathmandu,Premium,7.4,215,4,1
776335,Biratnagar,Premium,6.68,560,3,0
408101,Lalitpur,Premium,4.85,424,4,1
526524,Pokhara,Basic,4.36,194,1,0
830828,Kathmandu,Standard,7.18,68,2,0
249841,Pokhara,Standard,4.52,283,1,1
310637,Kathmandu,Basic,0.64,450,5,0
309240,Butwal,Premium,0.66,36,3,1
691958,Pokhara,Premium,6.16,598,5,0
276086,Butwal,Basic,5.76,20,1,1
817300,Dharan,Standard,3.35,449,3,0
521735,Dharan,Premium,6.69,535,3,1
714401,Butwal,Standard,4.1,60,1,1
999290,Butwal,Standard,3.8,225,3,1
619795,Lalitpur,Standard,7.44,390,1,1
477301,Butwal,Premium,0.19,186,5,0
213199,Kathmandu,Standard,9.17,369,5,0
726022,Pokhara,Basic,5.43,204,0,1
958733,Pokhara,Basic,9.5,417,4,1
783934,Dharan,Premium,5.65,129,0,1
473439,Butwal,Premium,7.09,177,1,0
241705,Biratnagar,Basic,4.1,360,5,0
834929,Kathmandu,Standard,4.16,395,5,0
653994,Lalitpur,Basic,3.83,42,3,0
135207,Butwal,Standard,0.38,592,1,0
310166,Biratnagar,Basic,8.47,103,5,0
734899,Kathmandu,Premium,2.03,467,1,0
442448,Pokhara,Standard,9.44,221,0,1
567306,Butwal,Standard,9.65,543,1,1
181831,Pokhara,Premium,9.05,589,0,0
546100,Biratnagar,Premium,0.15,99,2,1
704154,Butwal,Premium,2.28,132,0,1
942420,Kathmandu,Premium,8.88,362,0,1
225612,Butwal,Basic,6.34,176,3,0
531566,Biratnagar,Basic,4.34,366,2,0
950086,Biratnagar,Standard,8.83,33,2,1
825127,Pokhara,Standard,4.17,541,2,1
119583,Bhaktapur,Standard,0.31,165,0,0
964797,Biratnagar,Basic,9.06,484,5,1
274005,Biratnagar,Standard,0.18,26,1,1
511847,Butwal,Premium,4.99,337,1,0
935999,Bhaktapur,Premium,5.33,140,5,0
172206,Pokhara,Standard,6.61,417,2,1
472041,Biratnagar,Basic,8.76,260,2,0
939023,Butwal,Premium,5.66,349,1,1
885803,Butwal,Premium,0.46,557,2,0
659023,Biratnagar,Basic,3.58,166,1,0
539994,Kathmandu,Premium,1.09,150,1,0
235975,Kathmandu,Basic,6.95,461,5,0
288180,Butwal,Basic,8.65,98,2,1
759984,Bhaktapur,Basic,5.53,525,2,0
868742,Biratnagar,Basic,7.74,269,3,0
624488,Pokhara,Standard,6.45,267,5,0
123856,Pokhara,Premium,1.69,576,5,1
819780,Butwal,Premium,3.22,397,0,1
537879,Lalitpur,Standard,9.67,413,4,0
307815,Butwal,Premium,5.0,383,5,1
136187,Biratnagar,Premium,1.14,231,0,1
523552,Butwal,Standard,2.2,534,5,0
583205,Pokhara,Premium,3.44,355,2,0
331951,Biratnagar,Standard,5.77,488,2,0
253208,Biratnagar,Premium,7.51,121,2,1
548942,Kathmandu,Premium,6.74,185,2,0
852597,Kathmandu,Standard,3.05,254,4,1
727907,Dharan,Basic,4.56,518,0,0
753279,Biratnagar,Basic,6.22,537,3,0
883345,Butwal,Basic,5.73,137,1,0
647488,Bhaktapur,Standard,6.87,492,5,0
884520,Dharan,Standard,1.06,85,5,0
591752,Biratnagar,Premium,3.05,531,4,1
946754,Biratnagar,Basic,1.79,583,2,1
448905,Butwal,Premium,0.74,201,0,1
979114,Kathmandu,Standard,0.56,540,0,1
342891,Biratnagar,Premium,2.14,555,0,1
407768,Butwal,Standard,2.3,410,3,1
999764,Biratnagar,Premium,9.6,328,4,1
948654,Butwal,Premium,0.31,52,5,1
339205,Dharan,Standard,5.1,40,3,0
910274,Lalitpur,Premium,8.71,265,2,0
113393,Pokhara,Premium,5.04,179,0,0
459057,Kathmandu,Basic,1.77,409,3,1
563768,Dharan,Standard,8.38,346,3,1
907891,Butwal,Standard,4.96,205,3,0
549768,Pokhara,Basic,3.1,561,1,1
809045,Biratnagar,Premium,0.23,597,1,0
665721,Dharan,Basic,3.94,83,4,1
774561,Dharan,Basic,4.07,588,4,1
616409,Dharan,Standard,9.85,517,1,0
411660,Lalitpur,Premium,4.48,396,4,0
377404,Bhaktapur,Premium,1.58,310,1,0
817838,Bhaktapur,Standard,9.92,288,3,1
556422,Butwal,Standard,0.41,534,3,1
580281,Lalitpur,Standard,2.88,139,2,0
329697,Biratnagar,Basic,8.12,244,4,0
210492,Butwal,Basic,8.83,63,5,1
682950,Bhaktapur,Standard,1.2,90,3,1
748336,Lalitpur,Basic,6.09,128,0,0
369974,Biratnagar,Basic,7.37,478,0,1
229674,Kathmandu,Premium,4.72,99,4,0
411967,Dharan,Premium,1.94,364,0,0
704027,Bhaktapur,Standard,9.82,305,4,0
451463,Biratnagar,Standard,8.14,91,2,0
579552,Kathmandu,Basic,6.44,40,5,1
745240,Kathmandu,Premium,3.2,347,3,0
924323,Kathmandu,Basic,3.83,308,5,0
683087,Dharan,Basic,0.88,555,4,1
595083,Kathmandu,Premium,4.96,111,3,0
628461,Dharan,Basic,6.28,147,2,0
435742,Pokhara,Standard,9.51,51,1,1
699916,Pokhara,Standard,6.27,474,1,1
876147,Biratnagar,Standard,7.13,560,1,0
467464,Kathmandu,Premium,8.71,372,5,1
753369,Lalitpur,Premium,9.91,236,2,0
491680,Kathmandu,Basic,7.59,583,2,1
916904,Biratnagar,Standard,3.29,482,4,0
158381,Dharan,Premium,3.7,301,0,0
289051,Butwal,Standard,3.61,62,4,1
905177,Pokhara,Basic,5.77,260,2,1
336736,Pokhara,Premium,9.84,128,4,1
273555,Kathmandu,Standard,0.27,104,5,1
721831,Pokhara,Premium,7.57,549,0,1
752596,Lalitpur,Standard,9.73,249,1,0
887827,Lalitpur,Standard,6.84,173,4,1
464274,Pokhara,Basic,5.22,328,0,1
211294,Kathmandu,Premium,7.59,172,1,0
712659,Bhaktapur,Basic,0.93,241,1,1
635098,Kathmandu,Premium,6.71,52,3,0
852257,Kathmandu,Premium,3.19,452,3,0
510091,Kathmandu,Premium,7.49,472,4,0
787627,Pokhara,Standard,2.2,499,5,0
646418,Dharan,Premium,1.64,193,3,0
204373,Kathmandu,Premium,6.77,381,1,0
718469,Biratnagar,Basic,2.97,528,1,1
833515,Butwal,Premium,8.45,36,4,0
674865,Butwal,Basic,3.17,365,3,0
279600,Kathmandu,Basic,5.04,200,3,1
527013,Lalitpur,Standard,7.98,56,4,0
413686,Dharan,Standard,4.63,16,1,1
437886,Butwal,Basic,0.15,257,1,0
513271,Lalitpur,Premium,3.65,389,3,0
275176,Pokhara,Basic,7.36,407,0,0
439980,Lalitpur,Premium,4.63,565,1,0
881361,Pokhara,Standard,6.45,512,2,0
442494,Biratnagar,Premium,9.29,169,5,0
572366,Bhaktapur,Basic,1.12,13,3,0
220314,Dharan,Premium,1.76,435,0,1
509690,Biratnagar,Basic,9.45,70,0,0
187453,Pokhara,Standard,7.82,569,0,0
336771,Pokhara,Basic,2.32,590,4,1
628787,Pokhara,Basic,9.64,228,4,1
936008,Kathmandu,Basic,4.3,155,4,1
185668,Bhaktapur,Standard,8.98,534,0,0
740396,Dharan,Premium,4.42,542,1,0
474624,Lalitpur,Basic,6.89,511,2,0
796170,Lalitpur,Standard,3.02,234,4,1
275870,Lalitpur,Standard,8.32,164,3,0
197450,Pokhara,Basic,0.91,596,0,0
598836,Dharan,Basic,8.22,202,2,1
817177,Butwal,Standard,1.35,574,5,1
898814,Pokhara,Basic,8.47,133,1,0
894801,Kathmandu,Premium,4.96,583,4,0
221471,Kathmandu,Basic,9.63,256,4,0
246686,Butwal,Standard,2.81,312,4,1
411950,Kathmandu,Premium,4.47,41,2,0
312144,Dharan,Basic,0.52,252,0,1
117777,Kathmandu,Basic,4.13,434,0,1
986853,Butwal,Basic,7.81,168,3,1
888997,Kathmandu,Premium,1.37,142,0,0
183051,Butwal,Basic,0.86,249,4,0
505185,Pokhara,Premium,8.04,264,1,0
410839,Pokhara,Premium,0.53,254,3,1
408462,Biratnagar,Premium,6.36,32,1,0
604769,Bhaktapur,Premium,4.37,527,1,1
228076,Biratnagar,Standard,8.27,279,0,1
260680,Biratnagar,Basic,3.02,375,4,1
697347,Pokhara,Basic,2.34,544,5,1
879242,Lalitpur,Premium,6.61,123,1,1
332190,Bhaktapur,Basic,1.37,282,1,0
304739,Kathmandu,Standard,7.5,433,1,0
302568,Butwal,Standard,4.36,448,5,1
550825,Biratnagar,Standard,2.63,183,2,0
823171,Lalitpur,Basic,9.42,585,4,1
625732,Lalitpur,Premium,6.61,163,2,1
593442,Lalitpur,Standard,5.74,542,4,1
935333,Lalitpur,Premium,5.13,184,5,1
578991,Lalitpur,Premium,9.77,37,1,0
872098,Bhaktapur,Basic,7.32,197,5,0
719181,Pokhara,Premium,3.42,51,1,0
957123,Biratnagar,Standard,3.39,585,4,0
406497,Bhaktapur,Basic,2.99,544,1,1
612593,Butwal,Standard,6.32,525,5,0
795995,Kathmandu,Standard,0.44,120,4,0
245846,Dharan,Basic,1.92,211,3,0
961616,Bhaktapur,Basic,6.73,430,0,0
723764,Pokhara,Basic,2.07,49,1,1
476072,Kathmandu,Premium,4.95,89,1,0
211813,Kathmandu,Standard,7.19,307,4,1
601501,Lalitpur,Basic,8.99,303,5,0
975263,Pokhara,Basic,9.42,236,2,0
144293,Biratnagar,Standard,7.0,79,4,0
568675,Kathmandu,Premium,3.0,317,4,1
957895,Butwal,Basic,0.13,35,3,0
396217,Biratnagar,Premium,6.66,318,5,1
114856,Lalitpur,Standard,2.27,566,5,0
937338,Pokhara,Standard,4.99,388,2,1
852809,Pokhara,Standard,6.33,30,3,1
362255,Kathmandu,Basic,2.49,388,2,1
617512,Bhaktapur,Standard,5.03,22,5,1
324182,Pokhara,Basic,9.36,196,3,1
976414,Biratnagar,Premium,1.3,103,3,1
164715,Pokhara,Standard,1.65,372,2,1
589429,Biratnagar,Premium,2.82,343,2,0
173204,Biratnagar,Basic,7.63,380,2,0
486881,Pokhara,Basic,3.89,492,1,1
311190,Pokhara,Basic,8.1,299,4,1
607970,Pokhara,Premium,1.58,248,0,0
805957,Butwal,Basic,9.04,403,2,0
962061,Pokhara,Basic,3.28,61,5,1
329021,Kathmandu,Basic,3.91,131,2,1
874643,Bhaktapur,Standard,9.93,12,3,0
955031,Bhaktapur,Basic,3.0,23,4,0
183023,Dharan,Premium,7.76,263,3,1
876377,Pokhara,Standard,2.78,508,2,1
366436,Biratnagar,Basic,6.59,104,4,1
734770,Biratnagar,Basic,1.75,267,5,1
338306,Dharan,Standard,0.42,369,2,1
575276,Pokhara,Premium,1.56,188,3,0
275224,Biratnagar,Premium,9.88,527,5,0
322879,Lalitpur,Premium,9.5,316,2,0
556840,Dharan,Standard,4.96,554,0,1
351310,Pokhara,Basic,6.17,466,2,1
651392,Kathmandu,Premium,6.24,466,0,1
728516,Butwal,Standard,9.64,166,2,0
585989,Bhaktapur,Premium,0.28,191,2,1
754053,Biratnagar,Premium,6.98,457,4,0
662506,Biratnagar,Premium,4.27,89,1,1
939103,Biratnagar,Standard,5.95,469,3,1
464235,Kathmandu,Standard,9.62,513,1,1
554850,Pokhara,Premium,5.95,448,3,1
252218,Kathmandu,Basic,7.34,359,0,1
886382,Kathmandu,Basic,1.65,151,0,1
377587,Bhaktapur,Premium,1.01,69,3,0
313734,Lalitpur,Premium,9.1,488,4,0
467914,Pokhara,Premium,7.61,30,3,0
151295,Kathmandu,Standard,3.9,486,0,0
568194,Lalitpur,Basic,6.25,554,2,0
925709,Pokhara,Standard,0.59,74,1,1
807324,Biratnagar,Basic,4.54,216,1,1
337081,Butwal,Premium,9.89,160,4,0
681668,Pokhara,Basic,7.74,65,5,0
501993,Biratnagar,Basic,7.57,88,3,1
239134,Kathmandu,Basic,6.68,344,1,1
982428,Pokhara,Premium,3.21,367,4,0
684683,Biratnagar,Basic,7.27,511,1,0
368241,Lalitpur,Basic,6.67,103,1,0
641439,Dharan,Standard,0.75,25,5,1
232793,Bhaktapur,Basic,1.91,249,0,1
597662,Lalitpur,Premium,3.7,300,1,0
450405,Butwal,Premium,9.07,119,5,1
410548,Pokhara,Basic,1.22,493,5,0
765179,Dharan,Basic,5.37,405,0,0
102998,Kathmandu,Basic,4.75,546,5,0
859021,Lalitpur,Standard,6.72,519,3,1
397813,Biratnagar,Premium,1.56,320,0,0
635820,Dharan,Premium,2.57,569,4,1
190246,Lalitpur,Premium,0.49,592,5,1
246298,Butwal,Basic,2.37,366,2,0
148005,Biratnagar,Premium,9.94,419,1,1
134703,Biratnagar,Premium,7.14,530,1,1
422010,Biratnagar,Basic,3.82,166,2,1
980067,Dharan,Standard,3.66,506,1,0
596113,Butwal,Premium,3.84,445,5,0
135838,Butwal,Standard,8.63,285,3,0
320792,Biratnagar,Premium,8.01,597,0,1
649466,Lalitpur,Standard,2.39,285,4,1
141359,Kathmandu,Standard,5.01,369,0,0
493530,Butwal,Basic,4.7,418,5,0
361019,Kathmandu,Standard,5.56,213,2,0
771870,Butwal,Premium,5.2,255,3,1
994685,Bhaktapur,Basic,3.33,582,1,0
293714,Lalitpur,Basic,1.09,164,2,0
829226,Lalitpur,Standard,6.47,299,4,0
332621,Butwal,Basic,4.24,143,0,0
873856,Butwal,Standard,5.41,138,0,1
948133,Biratnagar,Standard,9.23,106,4,0
474967,Bhaktapur,Basic,6.08,430,1,1
988891,Bhaktapur,Premium,5.89,158,1,1
569424,Lalitpur,Standard,8.09,482,0,1
931955,Dharan,Standard,6.51,271,5,1
295637,Biratnagar,Standard,2.98,338,4,0
319371,Lalitpur,Standard,5.76,172,4,0
642180,Dharan,Premium,3.78,337,1,1
536855,Dharan,Basic,1.85,442,2,1
644499,Lalitpur,Basic,3.36,250,2,0
790185,Dharan,Standard,8.3,502,1,0
810237,Dharan,Standard,7.8,166,4,0
609567,Biratnagar,Standard,2.31,267,0,0
511782,Kathmandu,Premium,6.66,449,3,0
886906,Kathmandu,Basic,0.85,41,3,1
374759,Lalitpur,Premium,8.49,491,4,1
429272,Pokhara,Standard,8.67,47,3,1
770952,Dharan,Basic,1.96,534,0,0
492133,Bhaktapur,Standard,7.97,203,4,0
727555,Butwal,Basic,2.22,49,1,0
359773,Pokhara,Basic,0.68,244,4,1
439214,Pokhara,Standard,6.64,58,1,1
318184,Kathmandu,Standard,5.62,464,4,0
211310,Bhaktapur,Basic,8.62,167,4,1
623976,Kathmandu,Premium,0.65,235,2,1
697170,Biratnagar,Premium,8.63,67,3,0
656725,Butwal,Standard,0.7,438,0,0
452914,Pokhara,Basic,0.16,67,2,1
731882,Butwal,Basic,3.75,278,3,1
902467,Kathmandu,Standard,7.08,246,3,1
757317,Lalitpur,Basic,1.93,289,0,1
544001,Dharan,Basic,4.04,19,4,1
717271,Butwal,Premium,5.26,153,4,0
202053,Pokhara,Basic,0.25,489,3,0
439539,Dharan,Basic,9.48,270,2,1
310116,Pokhara,Premium,2.14,356,5,1
789838,Lalitpur,Standard,0.86,554,0,0
138660,Bhaktapur,Premium,1.17,423,0,0
746305,Lalitpur,Basic,3.68,251,3,1
845585,Butwal,Premium,3.27,572,2,1
364053,Bhaktapur,Basic,1.72,541,3,1
866924,Lalitpur,Standard,2.9,367,3,0
320865,Dharan,Premium,1.82,36,4,0
403490,Dharan,Premium,3.04,23,2,0
239395,Lalitpur,Standard,9.03,159,5,0
160557,Kathmandu,Basic,8.45,435,2,1
385955,Pokhara,Standard,8.34,104,3,0
491851,Lalitpur,Basic,5.92,269,2,1
828961,Biratnagar,Standard,7.31,383,2,1
590147,Butwal,Standard,2.58,171,5,1
717400,Bhaktapur,Basic,1.35,314,1,1
641221,Dharan,Standard,9.13,61,0,0
453519,Dharan,Standard,5.18,181,4,0
731664,Lalitpur,Premium,4.29,52,5,0
903981,Kathmandu,Basic,9.7,568,4,0
655680,Pokhara,Standard,3.74,548,5,0
769627,Dharan,Basic,0.7,558,3,1
838468,Kathmandu,Basic,1.66,376,5,0
663552,Kathmandu,Basic,1.17,52,4,1
749657,Pokhara,Basic,2.19,117,3,0
413230,Pokhara,Premium,7.54,49,4,0
658836,Pokhara,Standard,6.04,68,1,0
358134,Biratnagar,Basic,6.95,431,0,1
359529,Lalitpur,Basic,3.62,111,1,0
837007,Pokhara,Standard,6.15,488,3,1
950200,Kathmandu,Standard,5.89,185,0,0
746301,Kathmandu,Premium,4.18,209,5,1
328402,Bhaktapur,Standard,6.12,350,2,1
635450,Pokhara,Basic,4.3,541,4,0
888272,Dharan,Standard,2.14,426,1,0
337322,Biratnagar,Basic,4.21,493,0,0
592397,Bhaktapur,Premium,6.77,408,5,1
721827,Dharan,Premium,2.06,293,0,1
226418,Lalitpur,Basic,0.6,86,2,1
259775,Bhaktapur,Basic,8.15,474,1,1
441295,Butwal,Standard,3.23,332,1,1
739761,Kathmandu,Basic,1.1,563,1,1
475785,Pokhara,Standard,9.17,359,0,1
482176,Kathmandu,Standard,1.66,548,4,1
206477,Butwal,Premium,4.58,223,3,1
275101,Lalitpur,Premium,5.67,245,1,0
983485,Kathmandu,Basic,1.42,348,1,1
648852,Pokhara,Premium,1.69,506,0,1
168291,Kathmandu,Standard,1.54,306,5,1
622533,Lalitpur,Basic,5.63,85,5,0
237538,Bhaktapur,Premium,1.09,43,4,1
545639,Bhaktapur,Premium,8.05,83,4,1
865486,Kathmandu,Standard,6.16,10,1,1
354379,Bhaktapur,Premium,9.21,193,4,1
563320,Dharan,Basic,6.45,571,2,0
448353,Bhaktapur,Standard,5.03,422,2,1
738687,Pokhara,Standard,1.72,537,3,1
301712,Biratnagar,Basic,7.21,307,1,0
881547,Biratnagar,Basic,0.87,542,4,1
110151,Bhaktapur,Basic,3.6,535,0,1
861483,Kathmandu,Basic,3.37,316,1,0
365024,Kathmandu,Premium,0.72,423,5,0
978663,Kathmandu,Standard,9.96,71,0,0
847072,Bhaktapur,Basic,5.07,293,2,0
803219,Dharan,Basic,4.07,181,3,0
388937,Kathmandu,Standard,7.78,171,2,0
922425,Bhaktapur,Premium,1.26,401,4,0
658689,Lalitpur,Standard,6.54,262,2,1
