tower_id,timestamp,data_load_MB,active_users,network_type
TWR9965,2025-11-08 09:32:20.149299,420.24,346,VoLTE
TWR9833,2025-11-13 17:23:09.435055,933.72,361,4G
TWR3636,2025-11-08 07:36:17.354677,385.2,98,5G
TWR2961,2025-11-14 14:45:11.037143,1908.16,202,4G
TWR9096,2025-10-31 19:52:08.392259,3784.24,285,4G
TWR4165,2025-11-17 14:02:10.597749,785.42,424,VoLTE
TWR5954,2025-10-30 00:53:33.533702,298.28,121,VoLTE
TWR9814,2025-11-01 03:12:34.663162,2498.45,491,4G
TWR8373,2025-10-29 11:18:52.601747,3073.85,184,VoLTE
TWR1275,2025-11-20 08:38:31.427293,885.59,433,5G
TWR7366,2025-11-16 12:24:42.478023,471.34,57,5G
TWR9473,2025-11-13 09:30:46.184747,4421.57,393,4G
TWR7409,2025-10-30 20:08:26.121714,728.96,472,VoLTE
TWR9573,2025-10-27 11:15:10.151900,645.43,355,5G
TWR7886,2025-11-22 17:04:07.487070,1546.34,17,VoLTE
TWR8706,2025-11-11 01:57:32.736949,1699.65,189,4G
TWR7976,2025-10-31 20:48:09.205425,3176.83,260,4G
TWR7412,2025-11-04 01:14:08.496646,1129.24,178,VoLTE
TWR8213,2025-11-18 14:32:06.298482,578.98,119,5G
TWR6164,2025-11-22 17:07:11.279964,650.7,493,5G
TWR1530,2025-11-20 08:47:18.277038,3810.86,15,VoLTE
TWR6396,2025-11-11 03:08:58.992069,2943.2,301,5G
TWR1728,2025-11-18 08:00:22.390176,2608.93,494,VoLTE
TWR6032,2025-10-26 10:35:14.287016,879.27,226,5G
TWR8439,2025-11-06 00:02:41.876894,2859.42,283,4G
TWR6145,2025-10-30 11:50:13.361149,2205.77,273,4G
TWR2390,2025-11-14 10:37:22.954253,2966.27,111,VoLTE
TWR5027,2025-11-12 06:46:58.845757,2681.25,188,5G
TWR4420,2025-11-21 17:46:23.021028,4941.12,250,VoLTE
TWR1167,2025-11-17 00:21:53.113284,3243.38,264,5G
TWR9449,2025-11-16 06:34:13.701178,1534.08,245,5G
TWR5880,2025-11-10 08:39:46.497675,1242.8,445,VoLTE
TWR7311,2025-10-29 16:34:49.355312,337.03,320,4G
TWR9374,2025-10-30 08:56:29.398500,3816.69,451,4G
TWR8295,2025-10-29 05:35:11.911771,4579.22,111,VoLTE
TWR4560,2025-11-11 14:46:43.739647,4113.76,243,5G
TWR8359,2025-11-12 05:43:25.164235,937.84,158,4G
TWR1984,2025-11-05 05:50:35.016830,2645.33,176,5G
TWR2525,2025-11-14 23:50:37.304685,3993.38,70,4G
TWR4136,2025-11-15 22:59:01.639933,3813.68,82,4G
TWR9571,2025-11-04 00:57:34.363275,2631.73,438,4G
TWR1407,2025-11-22 00:45:36.713578,788.11,423,5G
TWR6926,2025-11-05 18:21:18.270716,499.94,73,4G
TWR1515,2025-11-15 23:50:26.181850,2508.17,375,5G
TWR5851,2025-11-16 03:42:22.965162,831.0,28,4G
TWR6556,2025-11-17 22:37:45.824345,2176.45,491,4G
TWR8152,2025-11-13 07:03:40.760319,2325.31,238,5G
TWR5346,2025-11-17 11:18:59.232466,235.57,93,4G
TWR6223,2025-11-08 16:32:21.161175,1539.51,16,5G
TWR6060,2025-11-02 11:22:15.964515,1101.87,320,4G
TWR9305,2025-11-19 07:30:46.443451,2982.59,81,VoLTE
TWR9778,2025-10-27 18:43:34.991769,1822.66,251,4G
TWR9994,2025-11-09 18:16:58.678771,3888.6,18,4G
TWR1352,2025-11-09 06:49:15.639568,2628.72,319,5G
TWR9524,2025-11-06 21:54:32.141363,332.19,490,VoLTE
TWR7089,2025-11-07 06:35:44.237407,915.56,475,4G
TWR4066,2025-11-06 00:55:47.623920,2198.5,27,5G
TWR7008,2025-11-08 02:24:36.206352,3545.33,31,5G
TWR8345,2025-11-20 19:31:08.768247,2948.12,133,VoLTE
TWR9686,2025-11-13 20:28:05.952089,201.62,190,5G
TWR5329,2025-11-03 18:21:40.172614,2268.68,187,VoLTE
TWR1277,2025-11-13 16:19:23.301135,3300.72,161,5G
TWR1707,2025-11-23 13:56:22.647265,171.36,161,4G
TWR7361,2025-11-24 21:00:14.020030,3473.52,209,5G
TWR2769,2025-10-30 15:04:04.174291,2695.46,294,VoLTE
TWR3532,2025-11-13 22:01:57.230155,1920.02,300,VoLTE
TWR7854,2025-11-22 03:05:28.777789,4516.96,104,VoLTE
TWR4174,2025-11-07 03:37:26.517374,2751.7,327,4G
TWR1510,2025-11-12 23:20:20.371454,4400.79,329,VoLTE
TWR3366,2025-10-27 14:18:55.254303,1970.16,382,4G
TWR2613,2025-11-16 22:37:57.804334,4392.45,400,5G
TWR4153,2025-10-31 19:02:11.905044,4449.74,69,4G
TWR3081,2025-11-12 03:45:43.895523,2946.62,52,VoLTE
TWR5797,2025-11-24 16:33:11.919883,4493.87,495,VoLTE
TWR4082,2025-11-12 05:12:21.206697,717.98,194,5G
TWR5154,2025-11-19 04:25:54.554115,1059.59,251,VoLTE
TWR4816,2025-11-15 23:58:38.853755,1462.52,118,5G
TWR8863,2025-10-31 01:46:41.137098,1618.82,421,4G
TWR7081,2025-11-23 09:52:09.734413,352.6,56,4G
TWR2024,2025-11-11 02:02:58.795057,2409.61,13,4G
TWR5802,2025-11-10 15:31:46.123407,939.12,355,VoLTE
TWR9814,2025-11-01 07:21:56.093322,644.96,453,VoLTE
TWR5877,2025-11-16 09:27:14.326383,3472.27,492,5G
TWR1940,2025-11-17 22:08:09.595946,835.55,241,4G
TWR4488,2025-11-02 12:59:38.842301,3976.8,233,4G
TWR5090,2025-11-09 16:28:32.952003,4137.74,31,VoLTE
TWR8659,2025-11-06 21:11:16.672825,1431.53,441,4G
TWR5833,2025-10-27 04:10:03.813892,1786.7,467,VoLTE
TWR3881,2025-11-07 08:13:13.775664,1967.42,408,5G
TWR8973,2025-11-12 21:35:59.193344,2565.24,51,5G
TWR9021,2025-11-10 17:24:45.643840,1838.06,406,4G
TWR1487,2025-10-26 16:51:44.556345,2549.07,205,4G
TWR8648,2025-11-24 10:00:02.097340,213.35,272,4G
TWR7526,2025-11-05 01:38:54.551984,643.46,469,5G
TWR9251,2025-11-16 00:52:41.686549,4276.55,477,5G
TWR7482,2025-11-15 15:02:15.746614,2660.69,487,4G
TWR9814,2025-11-25 02:58:21.894389,2382.83,37,4G
TWR6816,2025-11-01 12:07:22.290116,1369.82,456,VoLTE
TWR7966,2025-11-04 23:26:19.615839,2413.18,162,5G
TWR4574,2025-11-03 17:36:27.335445,4402.95,455,VoLTE
TWR2189,2025-11-18 02:22:58.280383,3850.41,46,4G
TWR7363,2025-10-27 20:24:47.115609,2480.07,43,4G
TWR2057,2025-11-23 08:24:16.373622,1612.75,13,VoLTE
TWR7286,2025-11-19 02:13:38.817058,4794.77,439,4G
TWR4095,2025-11-05 11:49:20.801556,4818.13,20,VoLTE
TWR1427,2025-11-22 22:49:27.432731,3449.74,206,5G
TWR5765,2025-11-08 19:49:06.857461,2506.13,298,VoLTE
TWR5986,2025-11-22 05:43:37.602728,4037.2,347,4G
TWR9999,2025-11-01 04:46:36.908377,2939.95,493,5G
TWR5667,2025-11-11 10:13:45.766329,3617.98,120,VoLTE
TWR5593,2025-11-16 20:39:06.023000,130.94,140,VoLTE
TWR2004,2025-11-15 14:55:44.281484,2762.0,260,4G
TWR2515,2025-11-07 18:08:39.074611,1572.92,483,4G
TWR2605,2025-11-19 01:10:55.705394,3708.62,79,VoLTE
TWR1846,2025-10-30 21:45:08.394243,2778.63,206,VoLTE
TWR6075,2025-11-04 23:09:52.884108,527.19,273,VoLTE
TWR2312,2025-11-17 20:08:34.287965,2233.62,247,4G
TWR9296,2025-11-03 11:02:52.207677,1924.35,153,VoLTE
TWR5415,2025-11-03 01:27:40.200529,1587.22,34,5G
TWR1839,2025-11-13 20:33:39.058824,4484.18,230,4G
TWR7341,2025-10-26 07:01:25.074430,3625.13,305,4G
TWR5748,2025-11-18 16:01:47.328678,4648.7,85,4G
TWR4168,2025-11-09 00:45:09.846400,2521.82,65,4G
TWR9907,2025-11-07 22:53:49.169874,1680.79,484,VoLTE
TWR9780,2025-11-09 21:03:13.940051,2223.78,37,4G
TWR5469,2025-11-14 17:05:50.250923,2598.82,217,4G
TWR8236,2025-11-09 06:21:16.199645,3255.36,247,5G
TWR8713,2025-11-18 17:35:15.307495,1645.74,334,5G
TWR9209,2025-11-19 14:19:25.773428,2772.0,86,VoLTE
TWR2142,2025-11-11 18:28:54.347567,4609.3,321,VoLTE
TWR3951,2025-11-04 12:31:54.347148,4949.88,82,5G
TWR8894,2025-11-24 22:09:53.620014,1820.77,164,4G
TWR2316,2025-11-07 01:42:35.779665,4125.63,298,4G
TWR9799,2025-11-05 02:53:07.430182,4935.45,57,5G
TWR7419,2025-11-07 04:48:17.240971,4988.21,240,5G
TWR7709,2025-11-10 04:17:13.106683,3447.83,398,4G
TWR4687,2025-11-07 10:25:11.455725,2538.82,94,4G
TWR6250,2025-11-03 20:24:39.035484,3090.26,163,4G
TWR9206,2025-11-22 14:14:44.340666,1123.27,53,VoLTE
TWR2896,2025-11-23 02:38:42.593141,4689.36,117,4G
TWR3530,2025-11-21 16:17:29.660823,446.3,129,5G
TWR3277,2025-11-03 03:03:42.003031,4575.93,126,5G
TWR7553,2025-11-21 00:18:36.007685,3017.72,172,4G
TWR7395,2025-10-29 07:28:32.827167,4352.13,473,4G
TWR5288,2025-11-21 14:22:02.604550,917.15,232,5G
TWR7522,2025-10-28 10:41:13.734199,785.8,355,4G
TWR1920,2025-11-16 12:58:17.571942,969.57,405,VoLTE
TWR4016,2025-11-19 10:07:01.894328,3048.4,478,4G
TWR7514,2025-11-24 21:47:02.114784,3462.83,472,5G
TWR1568,2025-11-02 07:42:29.692142,2377.46,262,VoLTE
TWR5507,2025-11-17 06:05:35.991383,4746.41,353,VoLTE
TWR9291,2025-10-30 07:02:32.400239,895.84,498,VoLTE
TWR2172,2025-11-10 03:28:53.395329,1959.33,373,VoLTE
TWR1656,2025-11-18 09:24:23.473560,2058.99,254,5G
TWR6779,2025-11-24 03:17:00.969672,3886.09,224,4G
TWR7216,2025-11-06 11:00:48.058529,1722.28,289,VoLTE
TWR9344,2025-11-24 05:50:20.448422,3629.09,157,4G
TWR4082,2025-11-01 04:57:26.216356,138.21,34,4G
TWR1541,2025-11-10 21:34:59.947063,522.89,375,VoLTE
TWR5526,2025-11-17 13:21:29.085345,1500.29,421,5G
TWR7886,2025-11-21 23:49:20.809972,2171.44,320,4G
TWR5792,2025-10-30 15:43:37.141778,1356.23,58,4G
TWR3874,2025-11-01 20:04:47.845168,4912.52,338,4G
TWR1261,2025-11-11 04:07:02.026480,2900.42,293,5G
TWR9589,2025-11-01 20:47:28.155009,4363.34,386,4G
TWR9277,2025-11-19 08:45:39.993643,2465.14,55,5G
TWR3476,2025-10-31 13:51:45.821431,4029.14,184,4G
TWR1962,2025-10-29 03:39:50.188093,460.47,74,4G
TWR7713,2025-11-18 22:09:07.834125,4152.78,130,4G
TWR8004,2025-11-09 12:09:36.080605,613.05,361,5G
TWR5227,2025-11-09 03:55:17.948223,2857.23,64,VoLTE
TWR1644,2025-11-17 22:40:27.674932,378.77,249,4G
TWR9959,2025-11-23 17:38:43.650003,4656.65,234,VoLTE
TWR7147,2025-11-22 06:27:57.492486,2606.69,302,5G
TWR4016,2025-11-19 09:03:19.270875,2932.55,105,VoLTE
TWR1411,2025-11-05 01:26:53.073659,4047.44,310,5G
TWR9075,2025-11-22 10:58:56.451662,4133.66,296,5G
TWR3691,2025-11-18 19:59:54.011635,1676.82,358,VoLTE
TWR1683,2025-11-09 18:42:00.882106,3462.29,10,VoLTE
TWR7224,2025-11-08 19:26:00.959668,2852.71,395,VoLTE
TWR8853,2025-11-19 10:55:32.994444,3715.17,209,VoLTE
TWR6337,2025-11-01 16:34:26.989205,4339.87,128,4G
TWR2182,2025-10-31 02:24:27.670671,4979.1,389,VoLTE
TWR9072,2025-11-11 16:59:27.266923,3286.46,45,5G
TWR4722,2025-11-08 11:43:07.284102,553.06,427,5G
TWR8484,2025-11-19 18:02:46.673250,3041.25,241,4G
TWR8494,2025-11-13 16:32:43.076674,1175.07,45,5G
TWR8142,2025-10-28 19:47:45.177095,1784.38,229,5G
TWR6094,2025-11-16 03:43:07.766486,903.63,144,5G
TWR6227,2025-10-30 06:30:12.685899,1825.2,11,VoLTE
TWR8565,2025-11-02 23:08:51.876076,145.73,133,5G
TWR4549,2025-10-31 10:20:45.306340,2053.14,205,4G
TWR2584,2025-11-06 10:58:36.397073,732.44,99,4G
TWR3771,2025-10-26 15:44:25.602383,1576.25,455,4G
TWR7268,2025-11-02 18:50:11.740667,2696.72,468,5G
TWR9195,2025-11-09 02:46:53.936529,2851.89,97,4G
TWR6650,2025-11-23 01:20:53.113772,754.9,121,4G
TWR2219,2025-11-01 13:55:57.827124,2465.04,482,4G
TWR2212,2025-11-15 15:19:17.615036,1523.35,365,5G
TWR8158,2025-11-14 06:17:33.007650,715.11,331,VoLTE
TWR6014,2025-11-23 12:52:21.580017,4325.66,466,5G
TWR2667,2025-10-27 19:28:46.622251,4835.67,362,5G
TWR5281,2025-11-11 01:57:38.352610,1388.33,495,5G
TWR2152,2025-10-31 18:57:46.015152,4916.95,333,4G
TWR9239,2025-11-21 10:59:02.691208,901.93,481,4G
TWR4680,2025-11-06 17:42:53.997607,3720.64,416,5G
TWR7060,2025-11-19 01:31:12.551907,138.76,79,VoLTE
TWR1884,2025-11-05 04:06:28.183651,1399.51,497,VoLTE
TWR1481,2025-11-19 01:10:59.961869,1440.19,316,VoLTE
TWR1804,2025-11-02 18:46:32.210744,602.45,325,4G
TWR6286,2025-11-14 10:15:55.006439,3503.01,171,5G
TWR4959,2025-10-31 03:55:54.682990,1372.18,15,VoLTE
TWR2209,2025-10-28 17:10:12.811671,4934.42,60,5G
TWR3658,2025-11-12 03:36:15.378328,983.93,466,VoLTE
TWR6988,2025-10-28 00:15:10.819426,3409.04,168,VoLTE
TWR5211,2025-11-24 20:24:50.355458,2158.9,468,4G
TWR7329,2025-11-03 20:18:52.396377,1113.85,349,4G
TWR4090,2025-11-23 10:50:43.002398,3023.93,442,5G
TWR5473,2025-11-03 04:56:46.561785,2560.83,208,4G
TWR8656,2025-11-06 00:30:20.330756,2420.34,392,VoLTE
TWR4066,2025-11-16 04:28:26.568512,1848.83,150,5G
TWR3026,2025-10-29 01:56:24.673586,4275.35,305,5G
TWR3576,2025-11-11 08:59:39.659673,4053.28,461,VoLTE
TWR1785,2025-11-04 13:22:51.221009,2977.22,133,5G
TWR9531,2025-11-16 18:08:04.444154,2343.15,269,VoLTE
TWR6092,2025-10-31 22:51:17.171901,4570.61,495,5G
TWR5390,2025-11-20 04:06:32.220596,2809.02,177,5G
TWR5932,2025-10-27 02:44:18.396421,4579.81,457,5G
TWR5350,2025-11-09 00:36:12.420785,4572.08,269,4G
TWR5457,2025-11-15 13:24:21.120645,3188.27,113,4G
TWR5976,2025-11-04 19:29:16.982178,4701.1,312,VoLTE
TWR9050,2025-10-27 12:28:52.415902,392.88,37,5G
TWR9860,2025-11-24 15:52:45.818710,1390.58,218,VoLTE
TWR7090,2025-11-22 14:43:21.567729,3133.19,100,VoLTE
TWR3255,2025-11-03 10:28:59.297783,1307.03,362,4G
TWR9837,2025-10-29 21:01:11.443519,2524.66,109,5G
TWR8000,2025-11-18 08:48:41.672164,3820.88,16,4G
TWR6037,2025-11-13 14:13:49.501222,4747.2,488,5G
TWR7378,2025-11-11 16:20:24.995989,4205.01,286,VoLTE
TWR1319,2025-11-22 20:36:01.660613,815.57,168,4G
TWR2002,2025-11-24 18:10:20.772871,1195.55,448,VoLTE
TWR6482,2025-11-01 07:52:42.599370,1533.67,228,4G
TWR9887,2025-11-21 00:30:00.310668,397.79,205,5G
TWR7405,2025-10-30 08:53:46.554374,3293.54,365,5G
TWR4307,2025-10-26 22:34:24.795813,1077.42,318,4G
TWR1643,2025-11-01 00:15:18.357768,2813.24,466,VoLTE
TWR3708,2025-11-09 04:36:46.806845,4782.16,115,5G
TWR2923,2025-11-20 13:28:46.584716,809.22,335,VoLTE
TWR1932,2025-10-29 02:01:08.270881,1510.46,432,5G
TWR1569,2025-11-02 21:07:44.144398,2814.15,321,VoLTE
TWR8746,2025-11-17 09:00:07.876231,3157.94,206,4G
TWR2917,2025-11-11 10:36:40.024599,2926.93,380,VoLTE
TWR3046,2025-11-17 04:36:07.656507,1191.46,373,5G
TWR5935,2025-11-19 10:09:14.040028,3925.53,499,VoLTE
TWR3746,2025-11-08 20:23:58.145162,4835.9,138,4G
TWR3949,2025-10-29 01:17:45.456766,1923.86,40,VoLTE
TWR7863,2025-11-19 19:20:29.126709,1967.5,63,4G
TWR2011,2025-10-29 05:00:46.495473,3027.87,395,5G
TWR2522,2025-11-12 13:58:39.530614,4522.26,286,5G
TWR3211,2025-11-02 04:06:31.029736,4175.83,390,4G
TWR6800,2025-11-16 05:00:18.275833,1045.05,45,5G
TWR7679,2025-11-18 08:58:12.424158,2116.01,50,5G
TWR7050,2025-11-11 22:30:03.780407,4784.37,144,VoLTE
TWR7407,2025-11-10 05:35:16.687347,3577.77,252,5G
TWR1675,2025-11-13 10:39:39.076568,1276.24,480,5G
TWR1480,2025-11-06 10:58:03.141396,2861.98,321,4G
TWR6666,2025-11-08 02:20:39.005653,2660.62,438,5G
TWR7093,2025-11-19 11:07:15.557491,4946.68,112,4G
TWR7259,2025-11-14 07:50:32.045904,2888.47,360,4G
TWR4785,2025-11-17 06:21:51.274146,729.02,452,VoLTE
TWR6226,2025-10-28 11:35:06.175698,4103.15,147,4G
TWR3267,2025-11-14 03:59:19.157839,2597.24,357,VoLTE
TWR1096,2025-11-08 01:14:24.978016,1357.13,191,VoLTE
TWR3137,2025-11-24 09:21:37.651274,820.22,380,5G
TWR8204,2025-11-02 05:11:06.992990,2565.78,90,5G
TWR7379,2025-11-09 18:35:45.256915,261.99,210,4G
TWR7837,2025-11-24 05:35:51.681706,4693.74,164,VoLTE
TWR7701,2025-11-22 20:50:54.301491,2960.28,463,4G
TWR6235,2025-11-19 12:36:07.756013,1712.48,35,5G
TWR8561,2025-11-10 11:20:57.015569,1471.8,35,4G
TWR1152,2025-11-18 06:36:16.543505,4524.82,497,5G
TWR4246,2025-11-07 21:49:29.632776,4575.79,447,4G
TWR1180,2025-11-06 15:40:29.101584,2284.58,54,5G
TWR9151,2025-11-05 09:43:38.506199,2268.61,193,VoLTE
TWR8289,2025-11-06 05:44:58.914836,3542.3,481,4G
TWR1783,2025-11-04 14:35:44.957587,347.24,306,4G
TWR5511,2025-10-29 12:39:16.000036,108.47,300,VoLTE
TWR1089,2025-11-13 19:05:50.200498,2274.96,261,4G
TWR3955,2025-11-23 08:03:58.481823,657.62,248,5G
TWR6422,2025-11-15 13:16:55.608792,4460.9,192,4G
TWR8461,2025-10-31 20:45:02.326323,2692.21,440,5G
TWR6871,2025-11-08 12:23:26.086072,4866.4,290,VoLTE
TWR2559,2025-10-28 12:34:34.410601,4696.75,448,VoLTE
TWR1352,2025-11-08 10:34:50.532429,3475.64,234,4G
TWR7760,2025-11-11 21:45:54.618837,3703.23,272,5G
TWR6657,2025-11-20 12:08:57.988026,1953.49,445,VoLTE
TWR1450,2025-11-12 10:55:02.003901,2446.62,16,5G
TWR4135,2025-11-14 04:09:26.443266,2270.18,161,VoLTE
TWR4415,2025-11-07 13:37:45.209839,2903.84,13,4G
TWR6328,2025-11-23 13:47:51.516455,2775.74,392,4G
TWR8399,2025-10-29 00:28:46.707541,4908.2,343,5G
TWR3848,2025-10-30 10:44:30.702115,1973.46,38,5G
TWR8524,2025-10-26 08:00:58.938190,1498.99,452,VoLTE
TWR7303,2025-11-01 16:27:44.377734,3923.63,152,5G
TWR4339,2025-11-06 06:45:53.040537,2633.49,466,5G
TWR9385,2025-11-05 19:08:09.465380,3800.5,240,5G
TWR9124,2025-11-16 03:13:35.292539,3943.37,453,5G
TWR5622,2025-10-28 14:38:23.932573,4804.36,105,5G
TWR9305,2025-11-15 23:07:54.740653,3361.99,377,VoLTE
TWR5204,2025-11-21 22:04:35.692333,1129.4,380,4G
TWR4823,2025-11-15 21:48:08.408245,2094.8,361,4G
TWR4276,2025-11-21 11:11:56.297577,745.29,264,5G
TWR9382,2025-11-03 20:11:57.080535,1153.79,255,5G
TWR5527,2025-10-26 11:39:16.237742,1533.78,202,5G
TWR2974,2025-11-15 23:02:58.322629,4394.79,76,VoLTE
TWR7564,2025-11-04 21:20:03.387283,119.31,496,5G
TWR7739,2025-11-14 16:05:02.807578,634.3,55,4G
TWR7922,2025-11-15 04:43:26.673585,1122.39,379,4G
TWR7279,2025-10-28 04:21:05.537351,1811.66,199,4G
TWR8433,2025-11-13 11:37:39.212441,4929.52,423,VoLTE
TWR3300,2025-11-07 11:36:55.554068,1613.12,40,5G
TWR3755,2025-10-30 06:43:57.771725,1164.77,434,4G
TWR1893,2025-11-19 08:00:17.208199,439.52,260,5G
TWR6029,2025-10-30 11:21:00.244958,4238.34,317,VoLTE
TWR4225,2025-11-15 07:59:54.338746,2172.03,240,5G
TWR7502,2025-11-15 04:51:00.248670,2091.71,209,5G
TWR1176,2025-10-29 22:26:40.556617,1630.21,472,5G
TWR2448,2025-11-20 05:46:32.541144,2107.06,226,5G
